FIPS,e2016_votediff,e2016_rep_winner,e2016_dem_winner,e2016_rep_vote,e2016_dem_vote,jurisdiction_name,state_name_abbreviation,total_registered_voters,total_active_voters,voters_removed_total,voters_removed_moved,voters_removed_death,voters_removed_felony,voters_removed_fail_to_respond,voters_removed_declared_mentally_incompetent,voters_removed_voter_request
10001,3640,True,False,36991,33351,KENT COUNTY,DE,123722,118139,8636,2214,2438,374,3339,0,269
10003,77394,False,True,85525,162919,NEW CASTLE COUNTY,DE,407015,392189,31487,12446,7595,1021,10333,0,87
10005,23278,True,False,62611,39333,SUSSEX COUNTY,DE,164277,162304,12331,5544,3604,409,2738,0,36
11001,267115,False,True,12723,282830,DISTRICT OF COLUMBIA,DC,617046,511633,27683,4085,6582,164,10823,Does not apply,Does not apply
12001,28986,False,True,46834,75820,ALACHUA COUNTY,FL,192565,180934,15537,634,2874,627,10876,6,519
12003,8182,True,False,10294,2112,BAKER COUNTY,FL,15765,15108,733,0,348,71,242,3,69
12005,40397,True,False,62194,21797,BAY COUNTY,FL,132971,120851,11111,1246,2861,625,6241,8,0
12007,5989,True,False,8913,2924,BRADFORD COUNTY,FL,16811,16317,845,57,493,110,181,1,3
12009,62169,True,False,181848,119679,BREVARD COUNTY,FL,447718,422606,35532,3911,11828,1086,18146,103,443
12011,292369,False,True,260951,553320,BROWARD COUNTY,FL,1250946,1175328,122747,4618,23109,4374,88831,158,1653
12013,3414,True,False,4655,1241,CALHOUN COUNTY,FL,8801,8695,430,0,270,39,110,0,5
12015,26773,True,False,60218,33445,CHARLOTTE COUNTY,FL,142743,134545,10076,1295,4641,280,3476,46,338
12017,31667,True,False,54456,22789,CITRUS COUNTY,FL,114386,109388,9792,1057,4120,418,4175,22,0
12019,47141,True,False,74963,27822,CLAY COUNTY,FL,158980,153119,8597,1110,2768,398,3949,6,0
12021,44338,True,False,105423,61085,COLLIER COUNTY,FL,237988,213664,16606,1430,5670,425,8929,52,0
12023,12767,True,False,20368,7601,COLUMBIA COUNTY,FL,42138,40375,3030,0,1135,206,1563,9,117
12027,2997,True,False,6778,3781,DESOTO COUNTY,FL,17533,16735,680,0,548,107,1,1,23
12029,4552,True,False,5822,1270,DIXIE COUNTY,FL,10128,9670,770,28,355,77,310,0,0
12031,5968,True,False,211672,205704,DUVAL COUNTY,FL,652426,607386,41263,3725,11733,2395,23317,90,0
12033,31347,True,False,88808,57461,ESCAMBIA COUNTY,FL,230229,212987,16424,0,4982,1080,6099,27,4001
12035,11824,True,False,33850,22026,FLAGLER COUNTY,FL,88067,82611,6251,0,2257,233,3266,14,476
12037,2381,True,False,4125,1744,FRANKLIN COUNTY,FL,8294,7783,389,41,213,37,98,0,0
12039,8292,False,True,6728,15020,GADSDEN COUNTY,FL,29918,29450,1907,97,675,201,930,1,2
12041,5282,True,False,6740,1458,GILCHRIST COUNTY,FL,11987,11751,420,38,330,43,9,0,0
12043,1725,True,False,2996,1271,GLADES COUNTY,FL,7353,6784,592,202,259,28,16,0,86
12045,3609,True,False,5329,1720,GULF COUNTY,FL,10745,10198,503,43,290,63,106,0,1
12047,1539,True,False,3443,1904,HAMILTON COUNTY,FL,8200,7727,553,14,255,44,240,0,0
12049,3093,True,False,5242,2149,HARDEE COUNTY,FL,12242,12239,1730,6,304,55,1351,3,5
12051,1580,True,False,6195,4615,HENDRY COUNTY,FL,18532,17773,2331,91,392,133,1710,0,4
12053,27175,True,False,58970,31795,HERNANDO COUNTY,FL,142798,133853,11000,1444,4601,474,4312,46,123
12055,14628,True,False,29565,14937,HIGHLANDS COUNTY,FL,68787,59272,10381,35,2697,235,6666,16,730
12057,41026,False,True,266870,307896,HILLSBOROUGH COUNTY,FL,932271,857266,52973,6488,14914,3556,27863,130,5
12059,6630,True,False,7483,853,HOLMES COUNTY,FL,11915,10751,870,75,356,84,348,2,5
12061,19577,True,False,48620,29043,INDIAN RIVER COUNTY,FL,119875,113426,4588,0,3363,344,5,18,835
12063,7860,True,False,14257,6397,JACKSON COUNTY,FL,29975,27996,2065,173,815,143,931,3,0
12065,389,True,False,3930,3541,JEFFERSON COUNTY,FL,9929,9791,488,0,241,47,174,0,26
12067,2291,True,False,2809,518,LAFAYETTE COUNTY,FL,4581,4356,168,0,137,20,0,0,11
12069,39350,True,False,102188,62838,LAKE COUNTY,FL,246461,236078,23918,741,6427,549,16052,51,95
12071,66643,True,False,191551,124908,LEE COUNTY,FL,501808,446273,32631,0,11625,1270,15606,91,3920
12073,38247,False,True,53821,92068,LEON COUNTY,FL,219524,213195,14246,0,2897,2576,7218,23,1531
12075,8674,True,False,13775,5101,LEVY COUNTY,FL,29319,27859,1303,0,867,122,234,1,78
12077,1892,True,False,2543,651,LIBERTY COUNTY,FL,4640,4374,751,462,189,56,15,0,29
12079,1325,True,False,4851,3526,MADISON COUNTY,FL,12303,11840,830,22,282,74,452,0,0
12081,30720,True,False,101944,71224,MANATEE COUNTY,FL,257798,245088,19560,0,6342,609,9897,35,2671
12083,45792,True,False,107833,62041,MARION COUNTY,FL,255715,243088,22532,323,8158,865,13100,60,Data not available
12085,23019,True,False,53204,30185,MARTIN COUNTY,FL,120939,114132,12163,719,3425,303,7616,13,65
12086,290147,False,True,333999,624146,MIAMI-DADE COUNTY,FL,1496697,1428856,80797,4419,26074,3138,46280,254,532
12087,2933,True,False,21904,18971,MONROE COUNTY,FL,62143,53869,6034,1201,1158,237,3260,6,171
12089,23397,True,False,34266,10869,NASSAU COUNTY,FL,68696,66798,2698,342,1424,179,718,3,0
12091,48113,True,False,71893,23780,OKALOOSA COUNTY,FL,154578,135563,16438,871,2678,436,12439,13,0
12093,5397,True,False,9356,3959,OKEECHOBEE COUNTY,FL,22237,20552,1102,52,642,115,253,3,37
12095,134678,False,True,195216,329894,ORANGE COUNTY,FL,879836,798373,51825,8627,11149,4004,27667,106,269
12097,35157,False,True,50301,85458,OSCEOLA COUNTY,FL,236525,218754,15021,0,3065,704,10201,26,996
12099,102271,False,True,272402,374673,PALM BEACH COUNTY,FL,950443,933572,113645,9294,23792,2481,77946,103,0
12101,51959,True,False,142101,90142,PASCO COUNTY,FL,372236,351949,30392,3469,9816,1013,16047,42,0
12103,5500,True,False,239201,233701,PINELLAS COUNTY,FL,716401,666876,53259,0,18893,2926,26116,110,5198
12105,39997,True,False,157430,117433,POLK COUNTY,FL,449358,417217,29275,0,10222,1768,14069,84,3068
12107,12044,True,False,22138,10094,PUTNAM COUNTY,FL,49619,47218,2685,0,1487,301,713,9,175
