FIPS,e2016_votediff,e2016_rep_winner,e2016_dem_winner,e2016_rep_vote,e2016_dem_vote
01001,12236,true,false,18172,5936
01003,54425,true,false,72883,18458
01005,583,true,false,5454,4871
01007,4864,true,false,6738,1874
01009,20703,true,false,22859,2156
01011,2390,false,true,1140,3530
01013,1175,true,false,4901,3726
01015,19623,true,false,32865,13242
01017,2059,true,false,7843,5784
01019,7406,true,false,8953,1547
01021,12170,true,false,15081,2911
01023,997,true,false,4106,3109
01025,1391,true,false,7140,5749
01027,4008,true,false,5245,1237
01029,5080,true,false,5764,684
01031,11654,true,false,15875,4221
01033,9434,true,false,16746,7312
01035,340,true,false,3420,3080
01037,1599,true,false,3381,1782
01039,10880,true,false,13267,2387
01041,2849,true,false,4513,1664
01043,29191,true,false,32989,3798
01045,9395,true,false,13808,4413
01047,7047,false,true,5789,12836
01049,17783,true,false,21405,3622
01051,19191,true,false,27634,8443
01053,5330,true,false,9935,4605
01055,21911,true,false,32353,10442
01057,5350,true,false,6712,1362
01059,7269,true,false,9466,2197
01061,8469,true,false,9994,1525
01063,3175,false,true,838,4013
01065,1602,false,true,3173,4775
01067,3340,true,false,5632,2292
01069,20064,true,false,30728,10664
01071,12999,true,false,16672,3673
01073,22105,false,true,134768,156873
01075,4787,true,false,5823,1036
01077,17947,true,false,27899,9952
01079,7206,true,false,10833,3627
01081,13387,true,false,34617,21230
01083,19599,true,false,29067,9468
01085,3132,false,true,1751,4883
01087,6135,false,true,1431,7566
01089,26698,true,false,89520,62822
01091,382,false,true,5233,5615
01093,9842,true,false,11274,1432
01095,24316,true,false,29233,4917
01097,22930,true,false,95116,72186
01099,1463,true,false,5795,4332
01101,24913,false,true,34003,58916
01103,26232,true,false,37486,11254
01105,2417,false,true,1407,3824
01107,1484,true,false,5456,3972
01109,2637,true,false,7693,5056
01111,5414,true,false,7705,2291
01113,369,false,true,9210,9579
01115,26062,true,false,31651,5589
01117,50043,true,false,73020,22977
01119,3165,false,true,1581,4746
01121,8493,true,false,20614,12121
01123,8075,true,false,13594,5519
01125,15961,true,false,47723,31762
01127,19769,true,false,24266,4497
01129,3668,true,false,6042,2374
01131,2602,false,true,1737,4339
01133,8356,true,false,9228,872
02701,607,true,false,3180,2573
02702,1603,true,false,3188,1585
02703,4162,true,false,5403,1241
02704,92,false,true,4070,4162
02705,496,true,false,3683,3187
02706,2393,true,false,4929,2536
02707,4425,true,false,5935,1510
02708,4908,true,false,6126,1218
02709,4257,true,false,6100,1843
02710,4447,true,false,6255,1808
02711,4302,true,false,6444,2142
02712,4701,true,false,6629,1928
02713,2344,true,false,4028,1684
02714,2935,true,false,5978,3043
02715,697,true,false,2525,1828
02716,91,false,true,3203,3294
02717,672,false,true,2618,3290
02718,1225,false,true,2684,3909
02719,1033,false,true,1636,2669
02720,1964,false,true,2187,4151
02721,745,false,true,3479,4224
02722,933,true,false,4203,3270
02723,352,true,false,3246,2894
02724,1131,true,false,4709,3578
02725,438,true,false,3816,3378
02726,1174,true,false,4548,3374
02727,356,true,false,4085,3729
02728,674,true,false,5423,4749
02729,4246,true,false,6347,2101
02730,4378,true,false,6194,1816
02731,2151,true,false,5617,3466
02732,1063,true,false,3764,2701
02733,3246,false,true,2732,5978
02734,265,false,true,3955,4220
02735,356,true,false,4105,3749
02736,1767,true,false,4460,2693
02737,483,false,true,1938,2421
02738,1564,false,true,1143,2758
02739,1737,false,true,1405,3142
02740,961,false,true,1377,2338
04001,8843,false,true,8240,17083
04003,10642,true,false,28092,17450
04005,11296,false,true,21108,32404
04007,7179,true,false,14182,7003
04009,4724,true,false,8025,3301
04011,800,true,false,1892,1092
04012,2428,true,false,4003,1575
04013,44454,true,false,747361,702907
04015,40827,true,false,58282,17455
04017,4118,true,false,20577,16459
04019,57233,false,true,167428,224661
04021,24927,true,false,72819,47892
04023,7793,false,true,3897,11690
04025,35740,true,false,71330,35590
04027,560,true,false,25165,24605
05001,1887,true,false,3826,1939
05003,2930,true,false,5338,2408
05005,10513,true,false,14682,4169
05007,32866,true,false,60871,28005
05009,9309,true,false,12235,2926
05011,847,true,false,2164,1317
05013,917,true,false,1556,639
05015,3444,true,false,6786,3342
05017,634,false,true,1716,2350
05019,784,true,false,4404,3620
05021,2582,true,false,3781,1199
05023,7357,true,false,9458,2101
05025,1739,true,false,2462,723
05027,2316,true,false,5456,3140
05029,2193,true,false,4849,2656
05031,12354,true,false,22892,10538
05033,12198,true,false,16686,4488
05035,1446,false,true,6964,8410
05037,2585,true,false,4584,1999
05039,344,true,false,1509,1165
05041,309,false,true,1919,2228
05043,1603,true,false,3968,2365
05045,14717,true,false,29346,14629
05047,3663,true,false,5039,1376
05049,2404,true,false,3471,1067
05051,13776,true,false,26087,12311
05053,4352,true,false,5725,1373
05055,7649,true,false,10720,3071
05057,2024,true,false,4401,2377
05059,5023,true,false,8172,3149
05061,1806,true,false,3157,1351
05063,7055,true,false,9936,2881
05065,2929,true,false,4042,1113
05067,1684,true,false,3267,1583
05069,6522,false,true,9250,15772
05071,3664,true,false,6091,2427
05073,726,true,false,1758,1032
05075,2801,true,false,4064,1263
05077,506,false,true,1229,1735
05079,1203,true,false,2455,1252
05081,2208,true,false,3605,1397
05083,4031,true,false,5746,1715
05085,14294,true,false,19958,5664
05087,3340,true,false,4928,1588
05089,3902,true,false,5336,1434
05091,7021,true,false,11294,4273
05093,1391,true,false,7061,5670
05095,177,true,false,1489,1312
05097,1895,true,false,2643,748
05099,843,true,false,2000,1157
05101,2176,true,false,2875,699
05103,1030,true,false,5351,4321
05105,1959,true,false,3008,1049
05107,1864,false,true,2446,4310
05109,2465,true,false,3150,685
05111,3622,true,false,5502,1880
05113,5406,true,false,6618,1212
05115,11256,true,false,16256,5000
05117,1691,true,false,2505,814
05119,28317,false,true,61257,89574
05121,3084,true,false,4509,1425
05123,836,false,true,3195,4031
05125,22607,true,false,35863,13256
05127,2129,true,false,2731,602
05129,2354,true,false,2955,601
05131,16827,true,false,29127,12300
05133,2207,true,false,3282,1075
05135,3935,true,false,5407,1472
05137,2910,true,false,4113,1203
05139,4601,true,false,10456,5855
05141,3833,true,false,5382,1549
05143,8110,true,false,41476,33366
05145,15907,true,false,21077,5170
05147,229,true,false,1347,1118
05149,3128,true,false,4608,1480
06001,418920,false,true,95922,514842
06003,117,false,true,217,334
06005,4481,true,false,10485,6004
06007,3577,true,false,45144,41567
06009,5567,true,false,13511,7944
06011,890,true,false,3551,2661
06013,203331,false,true,115956,319287
06015,1649,true,false,5134,3485
06017,12843,true,false,49247,36404
06019,17292,false,true,124049,141341
06021,2723,true,false,5788,3065
06023,14827,false,true,18373,33200
06025,19963,false,true,12704,32667
06027,1093,true,false,4248,3155
06029,30895,true,false,129584,98689
06031,4476,true,false,18093,13617
06033,897,false,true,10599,11496
06035,5350,true,false,7574,2224
06037,1694621,false,true,769743,2464364
06039,6328,true,false,23357,17029
06041,86936,false,true,21771,108707
06043,2063,true,false,5185,3122
06045,11191,false,true,10888,22079
06047,8592,false,true,28725,37317
06049,1819,true,false,2696,877
06051,662,false,true,2111,2773
06053,54193,false,true,34895,89088
06055,21788,false,true,17411,39199
06057,2688,false,true,23365,26053
